game_id,person_id,team_id,starter,seconds,points,fg2_made,fg2_attempted,fg3_made,fg3_attempted,ft_attempted,ft_made,offensive_reb,defensive_reb,assists,steals,blocks,turnovers,defensive_fouls,offensive_fouls
22401193,1642368,1610612745,false,247.99999999999997,2,1,1,0,0,0,0,0,4,0,0,0,0,1,0
22401193,1629111,1610612745,false,563,11,4,4,1,1,0,0,1,2,0,0,0,0,0,0
22401193,1641715,1610612745,false,1033,10,1,4,2,2,2,2,1,1,1,1,0,2,1,0
22401193,1631124,1610612743,false,592,9,2,4,0,1,6,5,0,0,1,1,0,0,1,0
22401185,1629029,1610612747,true,1863.6,39,8,10,5,9,14,8,0,8,7,1,0,4,1,0
22401185,1642263,1610612745,true,2465,14,1,6,4,8,0,0,0,3,5,2,1,3,3,0
22401185,201145,1610612745,true,1312,6,0,0,1,6,4,3,0,3,5,0,0,0,2,0
22401185,1631223,1610612745,false,1431,9,2,2,1,6,2,2,0,3,2,0,0,1,1,0
22401185,1629020,1610612747,false,1137,8,4,5,0,0,0,0,1,3,0,2,1,1,2,1
22401185,2544,1610612747,true,1324,14,5,7,1,4,1,1,0,4,8,1,0,1,1,0
22401185,1627827,1610612747,false,1809,18,0,1,6,8,0,0,0,0,0,3,0,0,1,0
22401185,1630559,1610612747,true,1983.6,23,6,9,3,6,2,2,0,7,6,2,0,5,2,0
22401185,1629216,1610612747,false,1280.4,0,0,0,0,3,0,0,0,1,1,1,0,0,1,0
22401185,1642368,1610612745,false,857,8,4,5,0,0,0,0,2,4,1,1,1,0,2,0
22401185,1630692,1610612747,false,1363.3999999999999,3,0,1,1,3,0,0,0,6,3,0,0,1,1,0
22401185,1641715,1610612745,true,2229,34,6,7,7,12,1,1,1,7,1,1,1,4,1,0
22401185,1628988,1610612745,false,1422,11,2,2,2,5,1,1,0,2,4,0,1,2,1,0
22401185,1631466,1610612745,false,1583,12,4,6,1,6,2,1,1,1,1,1,0,4,2,0
22401185,1629098,1610612745,false,720,0,0,1,0,3,0,0,1,0,0,0,1,1,1,0
22401185,1629060,1610612747,true,1914,16,5,6,1,2,4,3,0,5,1,0,0,0,2,0
22401185,1642355,1610612747,false,263,3,0,3,1,1,0,0,0,1,1,0,0,0,0,0
22401185,1629003,1610612747,false,237,2,1,2,0,0,0,0,0,1,0,1,0,0,0,0
22401185,1642261,1610612747,false,263,5,1,2,1,1,0,0,1,0,0,0,0,0,1,0
22401185,1630224,1610612745,true,895.0000000000001,7,2,6,1,4,0,0,1,3,3,1,0,1,0,0
22401185,1629111,1610612745,true,1471,8,2,4,1,1,2,1,1,4,0,2,0,2,4,0
22401185,1629637,1610612747,true,710,7,3,3,0,0,4,1,1,0,0,0,0,0,2,0
22401185,1641998,1610612747,false,237,2,1,1,0,0,0,0,1,2,1,0,0,0,0,0
22401184,202685,1610612758,false,610.0999999999999,9,3,5,0,0,3,3,0,3,1,0,0,2,1,2
22401184,1642269,1610612758,false,932.6999999999998,7,2,4,1,2,0,0,0,1,2,2,0,0,2,0
22401184,203992,1610612746,false,1285,2,1,4,0,2,0,0,1,1,2,0,0,1,1,1
22401184,1629234,1610612746,false,117,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
22401184,1627884,1610612746,false,1516.2,11,4,5,1,4,0,0,1,0,0,2,0,2,0,0
22401184,1626168,1610612758,false,1780.9,9,3,3,1,2,0,0,3,4,0,0,0,1,1,1
22401184,1627732,1610612746,false,739.9999999999999,0,0,0,0,0,0,0,0,1,2,0,1,0,3,0
22401184,201935,1610612746,true,2556,23,6,9,2,6,7,5,2,9,10,2,1,5,1,1
22401184,1631099,1610612758,true,1914.0000000000002,9,2,3,1,6,2,2,3,5,1,2,0,1,1,0
22401184,1627826,1610612746,true,2147.2999999999997,17,8,10,0,0,1,1,2,9,0,0,0,1,1,0
22401184,202695,1610612746,true,2540,28,8,18,2,3,6,6,1,6,3,1,0,0,3,0
22401184,1627739,1610612746,true,1341.5,4,2,3,0,3,0,0,0,2,0,0,0,1,2,1
22401184,201942,1610612758,true,2404.1999999999994,16,5,15,1,5,4,3,1,2,8,0,0,0,2,0
